Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
1745299782.20 | 0.00 | 623.50 | E-5 | 3.46 | 0.60
1745299782.21 | 0.01 | 654.11 | E5 | -13.56 | 0.54
1745299782.24 | 0.04 | 650.50 | E5 | -23.15 | 0.63
1745299782.26 | 0.01 | 640.50 | E`5 | 0.02 | 0.34
1745299782.27 | 0.01 | 637.95 | E`5 | -6.89 | 0.49
1745299782.28 | 0.01 | 640.58 | E`5 | 0.24 | 0.80
1745299782.31 | 0.02 | 625.96 | E-5 | 10.28 | 1.00
1745299782.31 | 0.00 | 611.08 | D~5 | 18.63 | 0.51
1745299782.33 | 0.01 | 607.69 | D~5 | 9.00 | 0.94
1745299782.37 | 0.02 | 592.40 | D5 | 14.87 | 0.38
1745299782.37 | 0.00 | 601.47 | D~5 | -8.80 | 0.54
1745299782.38 | 0.01 | 596.21 | D~5 | -24.03 | 0.51
1745299782.41 | 0.02 | 550.33 | C#5 | -12.65 | 0.60
1745299782.41 | 0.00 | 523.42 | C5 | 0.57 | 0.52
1745299782.43 | 0.02 | 531.91 | C~5 | -21.58 | 1.00
1745299782.44 | 0.01 | 542.08 | C~5 | 11.21 | 1.00
1745299782.45 | 0.01 | 1007.99 | B~5 | -14.92 | 0.59
1745299782.48 | 0.02 | 523.38 | C5 | 0.44 | 0.54
1745299782.48 | 0.00 | 527.79 | C5 | 14.96 | 0.38
1745299782.49 | 0.01 | 532.52 | C~5 | -19.60 | 0.73
1745299782.51 | 0.02 | 535.61 | C~5 | -9.59 | 0.83
1745299782.51 | 0.00 | 543.89 | C~5 | 16.97 | 0.73
1745299782.52 | 0.01 | 520.49 | C5 | -9.18 | 0.37
1745299782.55 | 0.02 | 172.27 | F3 | -23.44 | 0.35
1745299782.55 | 0.00 | 572.89 | C#~5 | 6.91 | 0.43
1745299782.57 | 0.02 | 557.72 | C#5 | 10.46 | 0.61
1745299782.57 | 0.00 | 671.69 | E~5 | -17.65 | 0.60
1745299782.58 | 0.01 | 659.46 | E5 | 0.53 | 0.52
1745299782.60 | 0.02 | 667.86 | E5 | 22.46 | 0.42
1745299782.60 | 0.00 | 655.70 | E5 | -9.37 | 0.34
1745299782.63 | 0.02 | 670.28 | E~5 | -21.30 | 0.42
1745299782.63 | 0.00 | 650.36 | E5 | -23.51 | 0.36
1745299782.66 | 0.04 | 650.75 | E5 | -22.47 | 0.33
1745299782.69 | 0.02 | 604.90 | D~5 | 1.02 | 0.37
1745299782.69 | 0.00 | 603.99 | D~5 | -1.59 | 0.39
1745299782.72 | 0.04 | 602.83 | D~5 | -4.89 | 0.38
1745299782.72 | 0.00 | 595.86 | D5 | 24.96 | 0.30
1745299782.73 | 0.01 | 574.57 | C#~5 | 11.98 | 0.48
1745299782.75 | 0.01 | 596.62 | D~5 | -22.84 | 0.46
1745299782.78 | 0.04 | 581.40 | D5 | -17.57 | 0.73
1745299782.79 | 0.01 | 533.20 | C~5 | -17.39 | 0.77
1745299782.82 | 0.02 | 536.83 | C~5 | -5.64 | 0.78
1745299782.82 | 0.00 | 532.92 | C~5 | -18.29 | 0.49
1745299782.83 | 0.01 | 548.67 | C#5 | -17.87 | 0.36
1745299782.87 | 0.04 | 540.67 | C~5 | 6.68 | 0.73
1745299782.89 | 0.02 | 539.47 | C~5 | 2.83 | 0.63
1745299782.89 | 0.00 | 532.98 | C~5 | -18.12 | 0.46
1745299782.90 | 0.01 | 520.36 | C5 | -9.61 | 0.46
1745299782.92 | 0.02 | 484.35 | B`4 | 16.25 | 0.48
1745299782.92 | 0.00 | 511.78 | B~4 | 11.61 | 0.70
1745299782.95 | 0.02 | 507.82 | B~4 | -1.83 | 0.75
1745299782.95 | 0.00 | 1337.55 | E6 | 24.82 | 0.74
1745299782.97 | 0.02 | 592.99 | D5 | 16.60 | 0.72
1745299782.97 | 0.00 | 1257.86 | E-6 | 18.48 | 0.74
1745299782.98 | 0.01 | 1222.88 | D~6 | 19.64 | 0.58
1745299782.99 | 0.01 | 624.24 | E-5 | 5.52 | 0.69
1745299783.02 | 0.00 | 1011.86 | B~5 | -8.29 | 0.37
1745299783.03 | 0.01 | 495.10 | B4 | 4.26 | 0.21
1745299783.12 | 0.04 | 571.04 | C#~5 | 1.30 | 0.47
1745299783.15 | 0.00 | 587.05 | D5 | -0.81 | 0.76
1745299783.18 | 0.02 | 1087.57 | C~6 | 16.64 | 0.71
1745299783.18 | 0.00 | 519.69 | C5 | -11.83 | 0.97
1745299783.19 | 0.01 | 1145.90 | C#~6 | 7.09 | 1.00
1745299783.24 | 0.01 | 1105.94 | C#6 | -4.37 | 1.00
1745299783.28 | 0.01 | 532.55 | C~5 | -19.50 | 0.89
1745299783.29 | 0.01 | 533.79 | C~5 | -15.47 | 0.76
1745299783.38 | 0.01 | 516.11 | C5 | -23.80 | 0.64
1745299783.40 | 0.02 | 514.16 | B~4 | 19.64 | 0.19
1745299783.40 | 0.00 | 519.97 | C5 | -10.89 | 0.33
1745299783.45 | 0.01 | 538.96 | C~5 | 1.20 | 0.91
1745299783.46 | 0.01 | 455.24 | A~4 | 8.96 | 0.76
1745299783.48 | 0.01 | 451.83 | A~4 | -4.05 | 0.46
1745299783.50 | 0.02 | 467.46 | B-4 | 4.82 | 0.39
1745299783.50 | 0.00 | 458.14 | A~4 | 19.94 | 0.55
1745299783.52 | 0.01 | 458.61 | A~4 | 21.72 | 0.69
1745299783.64 | 0.01 | 521.82 | C5 | -4.73 | 0.79
1745299783.66 | 0.02 | 511.57 | B~4 | 10.92 | 0.59
1745299783.70 | 0.02 | 526.99 | C5 | 12.34 | 0.90
1745299783.73 | 0.02 | 499.25 | B4 | 18.69 | 0.60
1745299783.73 | 0.00 | 1503.78 | F#~6 | -22.38 | 0.58
1745299783.77 | 0.01 | 506.47 | B~4 | -6.44 | 0.81
1745299783.78 | 0.01 | 1269.89 | E`6 | -15.05 | 0.66
1745299783.79 | 0.01 | 525.71 | C5 | 8.12 | 0.42
1745299783.84 | 0.01 | 579.22 | D5 | -24.06 | 0.64
1745299783.86 | 0.02 | 444.96 | A4 | 19.43 | 0.40
1745299783.86 | 0.00 | 461.34 | A#4 | -18.01 | 0.57
1745299783.87 | 0.01 | 452.78 | A~4 | -0.42 | 0.60
1745299783.88 | 0.01 | 461.01 | A#4 | -19.26 | 0.71
1745299783.91 | 0.01 | 449.97 | A~4 | -11.22 | 0.83
1745299783.93 | 0.02 | 451.63 | A~4 | -4.83 | 0.50
1745299783.93 | 0.00 | 445.44 | A4 | 21.26 | 0.69
1745299783.95 | 0.01 | 452.63 | A~4 | -1.02 | 0.67
1745299784.01 | 0.00 | 1450.58 | F~6 | 15.26 | 0.75
1745299784.02 | 0.01 | 1373.69 | E~6 | 20.98 | 0.97
1745299784.07 | 0.04 | 1254.85 | E-6 | 14.33 | 0.89
1745299784.08 | 0.01 | 427.70 | G#~4 | 0.93 | 0.48
1745299784.11 | 0.02 | 422.86 | G#~4 | -18.78 | 0.29
1745299784.11 | 0.00 | 418.55 | G#4 | 13.50 | 0.39
1745299784.12 | 0.01 | 419.61 | G#4 | 17.83 | 0.32
1745299784.15 | 0.04 | 417.10 | G#4 | 7.48 | 0.49
1745299784.17 | 0.01 | 1523.92 | F#~6 | 0.65 | 0.71
1745299784.17 | 0.00 | 1502.56 | F#~6 | -23.78 | 0.59
1745299784.26 | 0.01 | 440.91 | A4 | 3.58 | 0.67
1745299784.27 | 0.01 | 450.71 | A~4 | -8.37 | 1.00
1745299784.28 | 0.00 | 454.92 | A~4 | 7.73 | 1.00
1745299784.30 | 0.02 | 454.91 | A~4 | 7.68 | 0.75
1745299784.32 | 0.01 | 453.13 | A~4 | 0.92 | 0.70
1745299784.32 | 0.00 | 450.63 | A~4 | -8.67 | 1.00
1745299784.36 | 0.01 | 469.69 | B-4 | 13.06 | 1.00
1745299784.42 | 0.02 | 459.51 | A#4 | -24.90 | 0.54
1745299784.43 | 0.01 | 484.28 | B`4 | 15.99 | 0.54
1745299784.46 | 0.00 | 631.72 | E`5 | -23.86 | 0.29
1745299784.47 | 0.01 | 628.12 | E-5 | 16.24 | 0.23
1745299784.48 | 0.01 | 630.35 | E-5 | 22.39 | 0.38
1745299784.49 | 0.01 | 620.35 | D#5 | -5.29 | 0.64
1745299784.49 | 0.00 | 648.87 | E`5 | 22.51 | 0.65
1745299784.51 | 0.02 | 640.57 | E`5 | 0.23 | 0.42
1745299784.53 | 0.01 | 649.56 | E`5 | 24.35 | 0.42
1745299784.55 | 0.02 | 654.42 | E5 | -12.75 | 0.35
1745299784.55 | 0.00 | 660.50 | E5 | 3.28 | 0.47
1745299784.57 | 0.02 | 665.80 | E5 | 17.10 | 0.56
1745299784.57 | 0.00 | 659.44 | E5 | 0.48 | 0.44
1745299784.58 | 0.01 | 673.66 | E~5 | -12.57 | 0.81
1745299784.60 | 0.01 | 654.90 | E5 | -11.47 | 0.65
1745299784.62 | 0.02 | 624.09 | E-5 | 5.09 | 0.20
1745299784.62 | 0.00 | 643.32 | E`5 | 7.63 | 0.25
1745299784.63 | 0.01 | 623.23 | E-5 | 2.71 | 0.42
1745299784.63 | 0.00 | 649.70 | E`5 | 24.73 | 0.46
1745299784.68 | 0.02 | 665.37 | E5 | 15.99 | 0.51
1745299784.68 | 0.00 | 638.87 | E`5 | -4.37 | 0.28
1745299784.69 | 0.01 | 671.65 | E~5 | -17.75 | 0.28
1745299784.72 | 0.00 | 852.47 | G#~5 | -5.02 | 0.20
1745299784.73 | 0.01 | 847.24 | G#~5 | -15.67 | 0.53
1745299784.76 | 0.01 | 893.15 | A~5 | -24.32 | 0.75
1745299784.79 | 0.04 | 840.14 | G#5 | 19.76 | 0.91
1745299784.79 | 0.00 | 904.40 | A~5 | -2.65 | 1.00
1745299784.83 | 0.04 | 903.67 | A~5 | -4.05 | 0.93
1745299784.84 | 0.01 | 918.71 | A~5 | 24.53 | 0.90
1745299784.88 | 0.04 | 866.76 | G#~5 | 23.76 | 0.60
1745299784.92 | 0.01 | 797.79 | G~5 | -19.78 | 0.27
1745299784.98 | 0.01 | 516.19 | C5 | -23.51 | 0.39
1745299784.99 | 0.01 | 508.97 | B~4 | 2.08 | 0.34
1745299785.01 | 0.01 | 517.79 | C5 | -18.15 | 0.36
1745299785.02 | 0.01 | 507.18 | B~4 | -3.99 | 0.43
1745299785.03 | 0.01 | 382.31 | F#~4 | 6.69 | 0.42
1745299785.06 | 0.04 | 1178.66 | D6 | 5.89 | 0.62
1745299785.08 | 0.01 | 1129.51 | C#~6 | -17.86 | 0.57
1745299785.10 | 0.02 | 507.22 | B~4 | -3.87 | 0.38
1745299785.10 | 0.00 | 985.21 | B5 | -4.49 | 0.49
1745299785.12 | 0.02 | 1006.24 | B~5 | -17.92 | 0.27
1745299785.12 | 0.00 | 1046.67 | C6 | 0.28 | 0.46
1745299785.13 | 0.01 | 1158.29 | D6 | -24.29 | 0.58
1745299785.17 | 0.00 | 286.67 | C#~4 | 8.27 | 0.22
1745299785.20 | 0.00 | 1364.69 | E~6 | 9.60 | 0.15
1745299785.30 | 0.02 | 1025.39 | B~5 | 14.72 | 0.89
1745299785.30 | 0.00 | 1013.24 | B~5 | -5.93 | 0.96
1745299785.34 | 0.04 | 939.99 | B-5 | 14.18 | 0.83
1745299785.36 | 0.02 | 500.49 | B4 | 23.01 | 0.40
1745299785.36 | 0.00 | 395.60 | G4 | 15.84 | 0.61
1745299785.37 | 0.01 | 1103.61 | C#6 | -8.02 | 0.81
1745299785.38 | 0.01 | 510.59 | B~4 | 7.58 | 0.70
1745299785.40 | 0.02 | 508.93 | B~4 | 1.95 | 0.75
1745299785.41 | 0.00 | 391.65 | G4 | -1.54 | 0.63
1745299785.43 | 0.02 | 511.01 | B~4 | 9.01 | 0.55
1745299785.43 | 0.00 | 516.99 | C5 | -20.85 | 0.72
1745299785.45 | 0.02 | 515.53 | B~4 | 24.27 | 0.82
1745299785.45 | 0.00 | 519.21 | C5 | -13.43 | 0.76
1745299785.46 | 0.01 | 518.40 | C5 | -16.11 | 0.58
1745299785.47 | 0.01 | 384.78 | F#~4 | 17.85 | 0.44
1745299785.50 | 0.02 | 223.72 | A~3 | -20.99 | 0.31
1745299785.50 | 0.00 | 516.04 | C5 | -24.04 | 0.47
1745299785.53 | 0.04 | 537.31 | C~5 | -4.10 | 0.65
1745299785.55 | 0.01 | 515.99 | C5 | -24.18 | 0.53
1745299785.59 | 0.01 | 385.55 | F#~4 | 21.29 | 0.43
1745299785.61 | 0.01 | 792.99 | G5 | 19.75 | 0.50
1745299785.63 | 0.02 | 521.18 | C5 | -6.87 | 0.37
1745299785.63 | 0.00 | 1522.15 | F#~6 | -1.36 | 0.72
1745299785.64 | 0.01 | 522.98 | C5 | -0.91 | 0.64
1745299785.65 | 0.01 | 791.88 | G5 | 17.34 | 0.48
1745299785.66 | 0.01 | 515.17 | B~4 | 23.06 | 0.49
1745299785.76 | 0.04 | 515.95 | C5 | -24.32 | 0.78
1745299785.81 | 0.00 | 512.37 | B~4 | 13.62 | 0.38
1745299785.89 | 0.01 | 797.46 | G~5 | -20.50 | 0.13
1745299786.14 | 0.02 | 450.22 | A~4 | -10.25 | 0.20
1745299786.14 | 0.00 | 455.31 | A~4 | 9.22 | 0.22
1745299786.15 | 0.01 | 447.08 | A~4 | -22.35 | 0.26
1745299786.17 | 0.02 | 449.46 | A~4 | -13.17 | 0.24
1745299786.19 | 0.01 | 448.77 | A~4 | -15.83 | 0.29
1745299786.23 | 0.01 | 464.58 | A#4 | -5.91 | 0.23
1745299786.27 | 0.04 | 461.74 | A#4 | -16.51 | 0.18
1745299786.28 | 0.01 | 950.03 | B`5 | -17.45 | 0.20
1745299786.32 | 0.04 | 329.19 | E4 | -2.28 | 0.25
1745299786.33 | 0.01 | 516.36 | C5 | -22.94 | 0.34
1745299786.37 | 0.04 | 525.57 | C5 | 7.66 | 0.43
1745299786.38 | 0.01 | 521.80 | C5 | -4.82 | 0.32
1745299786.39 | 0.01 | 535.47 | C~5 | -10.05 | 0.43
1745299786.40 | 0.01 | 526.31 | C5 | 10.10 | 0.41
1745299786.41 | 0.01 | 529.77 | C5 | 21.42 | 0.23
1745299786.44 | 0.02 | 538.98 | C~5 | 1.27 | 0.24
1745299786.44 | 0.00 | 530.04 | C5 | 22.31 | 0.18
1745299786.47 | 0.04 | 524.98 | C5 | 5.70 | 0.22
1745299786.47 | 0.00 | 579.79 | D5 | -22.38 | 0.31
1745299786.48 | 0.01 | 580.73 | D5 | -19.56 | 0.19
1745299786.51 | 0.02 | 591.12 | D5 | 11.15 | 0.31
1745299786.51 | 0.00 | 590.99 | D5 | 10.74 | 0.28
1745299786.52 | 0.01 | 595.01 | D5 | 22.51 | 0.25
1745299786.53 | 0.01 | 589.85 | D5 | 7.42 | 0.26
1745299786.54 | 0.01 | 594.19 | D5 | 20.12 | 0.21
1745299786.55 | 0.01 | 582.93 | D5 | -13.01 | 0.29
1745299786.58 | 0.02 | 599.23 | D~5 | -15.27 | 0.19
1745299786.58 | 0.00 | 534.22 | C~5 | -14.07 | 0.51
1745299786.59 | 0.01 | 532.30 | C~5 | -20.33 | 0.47
1745299786.62 | 0.04 | 527.52 | C5 | 14.07 | 0.35
1745299786.64 | 0.01 | 524.15 | C5 | 2.98 | 0.31
1745299786.67 | 0.04 | 524.08 | C5 | 2.76 | 0.39
1745299786.68 | 0.01 | 528.21 | C5 | 16.34 | 0.46
1745299786.69 | 0.01 | 524.93 | C5 | 5.54 | 0.28
1745299786.71 | 0.01 | 524.12 | C5 | 2.88 | 0.31
1745299786.74 | 0.04 | 467.97 | B-4 | 6.68 | 0.26
1745299786.75 | 0.01 | 474.00 | B`4 | -21.14 | 0.32
1745299786.78 | 0.02 | 469.39 | B-4 | 11.93 | 0.25
1745299786.78 | 0.00 | 469.92 | B-4 | 13.88 | 0.16
1745299786.79 | 0.01 | 491.79 | B4 | -7.34 | 0.26
1745299786.80 | 0.01 | 492.05 | B4 | -6.43 | 0.25
1745299786.82 | 0.02 | 474.44 | B`4 | -19.52 | 0.29
1745299786.83 | 0.00 | 476.25 | B`4 | -12.93 | 0.28
1745299786.85 | 0.02 | 474.46 | B`4 | -19.45 | 0.23
1745299786.85 | 0.00 | 454.02 | A~4 | 4.29 | 0.18
1745299786.86 | 0.01 | 437.71 | A4 | -9.02 | 0.25
1745299786.89 | 0.04 | 596.05 | D~5 | -24.48 | 0.33
1745299786.92 | 0.02 | 460.68 | A#4 | -20.49 | 0.30
1745299786.92 | 0.00 | 460.15 | A#4 | -22.48 | 0.28
1745299786.93 | 0.01 | 441.78 | A4 | 6.99 | 0.32
1745299786.94 | 0.01 | 445.79 | A4 | 22.64 | 0.31
1745299786.95 | 0.01 | 458.18 | A~4 | 20.10 | 0.24
1745299786.98 | 0.02 | 446.01 | A4 | 23.47 | 0.30
1745299786.98 | 0.00 | 450.65 | A~4 | -8.60 | 0.23
1745299786.99 | 0.01 | 461.66 | A#4 | -16.80 | 0.29
1745299787.02 | 0.04 | 469.95 | B-4 | 14.01 | 0.21
1745299787.05 | 0.02 | 460.39 | A#4 | -21.59 | 0.17
1745299787.05 | 0.00 | 460.60 | A#4 | -20.78 | 0.20
1745299787.06 | 0.01 | 470.90 | B-4 | 17.48 | 0.22
1745299787.08 | 0.02 | 962.01 | B`5 | 4.26 | 0.18
1745299787.08 | 0.00 | 474.54 | B`4 | -19.15 | 0.13
1745299787.10 | 0.02 | 463.15 | A#4 | -11.24 | 0.14
1745299787.11 | 0.00 | 459.11 | A~4 | 23.62 | 0.14
1745299787.12 | 0.01 | 475.96 | B`4 | -13.99 | 0.14
1745299787.14 | 0.02 | 452.47 | A~4 | -1.63 | 0.24
1745299787.14 | 0.00 | 453.89 | A~4 | 3.80 | 0.23
1745299787.15 | 0.01 | 462.65 | A#4 | -13.08 | 0.25
1745299787.16 | 0.01 | 418.07 | G#4 | 11.48 | 0.24
1745299787.21 | 0.01 | 452.53 | A~4 | -1.38 | 0.29
1745299787.23 | 0.00 | 209.03 | G#3 | 11.47 | 0.19
1745299787.26 | 0.01 | 597.35 | D~5 | -20.71 | 0.24
1745299787.31 | 0.01 | 469.56 | B-4 | 12.56 | 0.31
1745299787.33 | 0.02 | 460.18 | A#4 | -22.38 | 0.26
1745299787.33 | 0.00 | 526.45 | C5 | 10.56 | 0.24
1745299787.34 | 0.01 | 399.93 | G~4 | -15.29 | 0.22
1745299787.38 | 0.04 | 522.45 | C5 | -2.65 | 0.34
1745299787.39 | 0.01 | 395.63 | G4 | 15.97 | 0.28
1745299787.41 | 0.02 | 395.55 | G4 | 15.61 | 0.26
1745299787.41 | 0.00 | 396.90 | G4 | 21.52 | 0.18
1745299787.42 | 0.01 | 1199.52 | D~6 | -13.74 | 0.20
1745299787.46 | 0.04 | 397.82 | G~4 | -24.48 | 0.19
1745299787.47 | 0.01 | 398.63 | G~4 | -20.96 | 0.24
1745299787.48 | 0.01 | 391.65 | G4 | -1.54 | 0.19
1745299787.51 | 0.02 | 372.62 | F#4 | 12.22 | 0.23
1745299787.51 | 0.00 | 1122.70 | C#6 | 21.68 | 0.29
1745299787.52 | 0.01 | 376.45 | F#~4 | -20.05 | 0.35
1745299787.53 | 0.01 | 374.74 | F#4 | 22.06 | 0.39
1745299787.55 | 0.02 | 372.14 | F#4 | 10.01 | 0.47
1745299787.55 | 0.00 | 372.50 | F#4 | 11.71 | 0.43
1745299787.56 | 0.01 | 373.71 | F#4 | 17.31 | 0.51
1745299787.58 | 0.01 | 373.96 | F#4 | 18.46 | 0.39
1745299787.59 | 0.01 | 370.91 | F#4 | 4.29 | 0.42
1745299787.61 | 0.02 | 367.95 | F#4 | -9.61 | 0.36
1745299787.61 | 0.00 | 370.44 | F#4 | 2.11 | 0.33
1745299787.62 | 0.01 | 374.46 | F#4 | 20.79 | 0.31
1745299787.64 | 0.02 | 375.16 | F#4 | 23.98 | 0.27
1745299787.64 | 0.00 | 370.43 | F#4 | 2.04 | 0.29
1745299787.66 | 0.01 | 370.30 | F#4 | 1.43 | 0.32
1745299787.67 | 0.01 | 376.75 | F#~4 | -18.66 | 0.24
1745299787.70 | 0.04 | 374.69 | F#4 | 21.82 | 0.26
1745299787.73 | 0.02 | 374.02 | F#4 | 18.75 | 0.25
1745299787.73 | 0.00 | 372.71 | F#4 | 12.64 | 0.24
1745299787.74 | 0.01 | 372.99 | F#4 | 13.95 | 0.22
1745299787.75 | 0.01 | 373.66 | F#4 | 17.09 | 0.18
1745299787.79 | 0.04 | 373.72 | F#4 | 17.34 | 0.28
1745299787.80 | 0.01 | 373.25 | F#4 | 15.17 | 0.30
1745299787.81 | 0.01 | 372.46 | F#4 | 11.49 | 0.22
1745299787.83 | 0.02 | 372.34 | F#4 | 10.95 | 0.30
1745299787.83 | 0.00 | 373.49 | F#4 | 16.29 | 0.27
1745299787.86 | 0.02 | 372.00 | F#4 | 9.35 | 0.35
1745299787.86 | 0.00 | 369.64 | F#4 | -1.64 | 0.25
1745299787.87 | 0.01 | 371.73 | F#4 | 8.08 | 0.30
1745299787.87 | 0.00 | 377.85 | F#~4 | -13.63 | 0.29
1745299787.89 | 0.02 | 371.32 | F#4 | 6.17 | 0.25
1745299787.89 | 0.00 | 1177.30 | D6 | 3.89 | 0.37
1745299787.93 | 0.04 | 1141.38 | C#~6 | 0.24 | 0.33
1745299787.94 | 0.01 | 1138.60 | C#~6 | -3.98 | 0.33
1745299787.96 | 0.02 | 1150.65 | C#~6 | 14.25 | 0.28
1745299787.96 | 0.00 | 1144.48 | C#~6 | 4.94 | 0.34
1745299787.97 | 0.01 | 1127.07 | C#~6 | -21.60 | 0.27
1745299787.99 | 0.01 | 369.96 | F#4 | -0.17 | 0.18
1745299788.00 | 0.01 | 1129.74 | C#~6 | -17.50 | 0.22
1745299788.02 | 0.02 | 1124.94 | C#~6 | -24.87 | 0.25
1745299788.02 | 0.00 | 1092.44 | C~6 | 24.37 | 0.27
1745299788.04 | 0.02 | 1086.37 | C~6 | 14.73 | 0.27
1745299788.04 | 0.00 | 558.75 | C#5 | 13.63 | 0.17
1745299788.05 | 0.01 | 1102.14 | C#6 | -10.33 | 0.23
1745299788.07 | 0.01 | 1058.37 | C6 | 19.53 | 0.35
1745299788.09 | 0.02 | 555.98 | C#5 | 5.04 | 0.19
1745299788.10 | 0.01 | 529.33 | C5 | 20.00 | 0.20
1745299788.11 | 0.01 | 458.72 | A~4 | 22.13 | 0.35
1745299788.18 | 0.02 | 499.88 | B4 | 20.89 | 0.17
1745299788.18 | 0.00 | 488.90 | B4 | -17.55 | 0.13
1745299788.22 | 0.01 | 375.53 | F#~4 | -24.31 | 0.14
1745299788.30 | 0.00 | 569.50 | C#~5 | -3.36 | 0.20
1745299788.36 | 0.01 | 641.58 | E`5 | 2.95 | 0.32
1745299788.38 | 0.02 | 617.18 | D#5 | -14.19 | 0.32
1745299788.38 | 0.00 | 398.51 | G~4 | -21.48 | 0.23
1745299788.39 | 0.01 | 406.49 | G~4 | 12.85 | 0.22
1745299788.41 | 0.01 | 217.45 | A3 | -20.18 | 0.24
1745299788.43 | 0.00 | 404.26 | G~4 | 3.32 | 0.19
1745299788.44 | 0.01 | 638.73 | E`5 | -4.77 | 0.15
1745299788.45 | 0.01 | 611.16 | D~5 | 18.85 | 0.15
1745299788.49 | 0.04 | 605.95 | D~5 | 4.03 | 0.21
1745299788.50 | 0.01 | 622.53 | E-5 | 0.76 | 0.18
1745299788.51 | 0.01 | 619.12 | D#5 | -8.74 | 0.17
1745299788.52 | 0.01 | 633.39 | E`5 | -19.28 | 0.19
1745299788.54 | 0.01 | 628.41 | E-5 | 17.06 | 0.21
1745299788.56 | 0.02 | 637.30 | E`5 | -8.64 | 0.18
1745299788.56 | 0.00 | 630.60 | E-5 | 23.06 | 0.18
1745299788.58 | 0.02 | 631.61 | E`5 | -24.17 | 0.17
1745299788.58 | 0.00 | 631.81 | E`5 | -23.61 | 0.16
1745299788.59 | 0.01 | 639.85 | E`5 | -1.72 | 0.20
1745299788.62 | 0.02 | 616.02 | D#5 | -17.43 | 0.21
1745299788.62 | 0.00 | 605.10 | D~5 | 1.60 | 0.18
1745299788.63 | 0.01 | 603.22 | D~5 | -3.78 | 0.16
1745299788.66 | 0.04 | 589.27 | D5 | 5.72 | 0.28
1745299788.68 | 0.01 | 298.03 | D~4 | -24.48 | 0.30
1745299788.70 | 0.02 | 607.75 | D~5 | 9.17 | 0.28
1745299788.70 | 0.00 | 582.11 | D5 | -15.46 | 0.18
1745299788.72 | 0.02 | 602.19 | D~5 | -6.75 | 0.20
1745299788.72 | 0.00 | 296.62 | D4 | 17.32 | 0.20
1745299788.73 | 0.01 | 600.40 | D~5 | -11.89 | 0.21
1745299788.75 | 0.01 | 632.49 | E`5 | -21.76 | 0.23
1745299788.76 | 0.01 | 630.77 | E-5 | 23.53 | 0.25
1745299788.78 | 0.02 | 627.77 | E-5 | 15.27 | 0.16
1745299788.78 | 0.00 | 623.07 | E-5 | 2.27 | 0.20
1745299788.79 | 0.01 | 638.23 | E`5 | -6.12 | 0.19
1745299788.82 | 0.02 | 617.69 | D#5 | -12.75 | 0.17
1745299788.82 | 0.00 | 624.91 | E-5 | 7.37 | 0.16
1745299788.84 | 0.02 | 627.73 | E-5 | 15.17 | 0.17
1745299788.84 | 0.00 | 639.25 | E`5 | -3.34 | 0.26
1745299788.85 | 0.01 | 635.05 | E`5 | -14.76 | 0.18
1745299788.91 | 0.02 | 300.68 | D~4 | -9.11 | 0.20
1745299788.91 | 0.00 | 602.13 | D~5 | -6.92 | 0.20
1745299788.92 | 0.01 | 606.49 | D~5 | 5.58 | 0.27
1745299788.96 | 0.04 | 735.35 | F#5 | -10.88 | 0.34
1745299788.97 | 0.01 | 297.37 | D4 | 21.70 | 0.38
1745299788.99 | 0.02 | 606.85 | D~5 | 6.59 | 0.35
1745299788.99 | 0.00 | 540.19 | C~5 | 5.16 | 0.26
1745299789.01 | 0.02 | 547.27 | C#5 | -22.31 | 0.54
1745299789.01 | 0.00 | 541.08 | C~5 | 8.00 | 0.37
1745299789.03 | 0.01 | 533.18 | C~5 | -17.47 | 0.38
1745299789.04 | 0.01 | 543.30 | C~5 | 15.08 | 0.20
1745299789.06 | 0.02 | 539.43 | C~5 | 2.73 | 0.23
1745299789.06 | 0.00 | 529.69 | C5 | 21.18 | 0.33
1745299789.07 | 0.01 | 531.79 | C~5 | -21.99 | 0.26
1745299789.10 | 0.02 | 534.89 | C~5 | -11.92 | 0.41
1745299789.10 | 0.00 | 532.91 | C~5 | -18.35 | 0.33
1745299789.11 | 0.01 | 536.40 | C~5 | -7.03 | 0.42
1745299789.12 | 0.01 | 531.93 | C~5 | -21.51 | 0.27
1745299789.13 | 0.01 | 507.81 | B~4 | -1.86 | 0.30
1745299789.17 | 0.04 | 475.67 | B`4 | -15.05 | 0.31
1745299789.18 | 0.01 | 465.09 | A#4 | -3.99 | 0.56
1745299789.22 | 0.04 | 718.07 | F~5 | -2.06 | 0.63
1745299789.26 | 0.01 | 310.67 | D#4 | -2.52 | 0.36
1745299789.29 | 0.02 | 467.74 | B-4 | 5.84 | 0.34
1745299789.29 | 0.00 | 462.60 | A#4 | -13.28 | 0.40
1745299789.32 | 0.04 | 512.59 | B~4 | 14.36 | 0.44
1745299789.36 | 0.04 | 529.20 | C5 | 19.56 | 0.39
1745299789.36 | 0.00 | 535.07 | C~5 | -11.32 | 0.42
1745299789.37 | 0.01 | 518.14 | C5 | -16.99 | 0.34
1745299789.39 | 0.02 | 538.31 | C~5 | -0.89 | 0.49
1745299789.39 | 0.00 | 506.94 | B~4 | -4.83 | 0.37
1745299789.40 | 0.01 | 494.03 | B4 | 0.51 | 0.30
1745299789.42 | 0.01 | 475.81 | B`4 | -14.53 | 0.40
