Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
1745299774.71 | 0.02 | 403.59 | G~4 | 0.48 | 0.34
1745299774.71 | 0.00 | 395.64 | G4 | 16.01 | 0.25
1745299774.72 | 0.01 | 402.27 | G~4 | -5.23 | 0.28
1745299774.74 | 0.02 | 1155.79 | C#~6 | 21.96 | 0.25
1745299774.74 | 0.00 | 393.55 | G4 | 6.86 | 0.30
1745299774.75 | 0.01 | 396.39 | G4 | 19.31 | 0.30
1745299774.79 | 0.04 | 1140.95 | C#~6 | -0.41 | 0.29
1745299774.80 | 0.01 | 1002.09 | B5 | 24.92 | 0.36
1745299774.81 | 0.01 | 355.51 | F~4 | -19.15 | 0.33
1745299774.82 | 0.01 | 1113.51 | C#6 | 7.45 | 0.35
1745299774.84 | 0.01 | 349.82 | F4 | 2.95 | 0.37
1745299774.85 | 0.01 | 1102.98 | C#6 | -9.01 | 0.54
1745299774.88 | 0.04 | 479.48 | B`4 | -1.22 | 0.33
1745299774.90 | 0.01 | 1078.69 | C~6 | 2.45 | 0.35
1745299774.91 | 0.01 | 351.93 | F4 | 13.34 | 0.34
1745299774.93 | 0.02 | 352.35 | F4 | 15.41 | 0.25
1745299774.93 | 0.00 | 351.90 | F4 | 13.17 | 0.27
1745299774.95 | 0.02 | 515.65 | B~4 | 24.67 | 0.29
1745299774.95 | 0.00 | 515.67 | B~4 | 24.74 | 0.34
1745299774.97 | 0.01 | 388.03 | G4 | -17.59 | 0.36
1745299775.00 | 0.04 | 547.75 | C#5 | -20.79 | 0.26
1745299775.02 | 0.02 | 392.60 | G4 | 2.65 | 0.27
1745299775.02 | 0.00 | 398.20 | G~4 | -22.80 | 0.28
1745299775.06 | 0.04 | 374.35 | F#4 | 20.25 | 0.27
1745299775.07 | 0.01 | 1088.82 | C~6 | 18.62 | 0.27
1745299775.10 | 0.02 | 353.73 | F4 | 22.18 | 0.37
1745299775.10 | 0.00 | 1240.59 | D#6 | -5.46 | 0.38
1745299775.11 | 0.01 | 348.66 | F4 | -2.81 | 0.47
1745299775.12 | 0.01 | 1142.71 | C#~6 | 2.27 | 0.32
1745299775.13 | 0.01 | 348.44 | F4 | -3.93 | 0.51
1745299775.14 | 0.01 | 350.05 | F4 | 4.09 | 0.47
1745299775.17 | 0.02 | 352.36 | F4 | 15.48 | 0.33
1745299775.17 | 0.00 | 349.66 | F4 | 2.16 | 0.34
